[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "AetherVillages-1.21.1-1.0.8-neoforge.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "AI-Improvements-1.21-0.5.3.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "alltheleaks-1.1.7+1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "Almanac-1.21.1-2-neoforge-1.5.2.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "AmbientSounds_NEOFORGE_v6.3.4_mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "amendments-1.21-2.0.15-neoforge.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-alligatorgar-1.0.0-neoforge-1.21.1-21.1.215.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-bullshark-1.1.0-neoforge-1.21.1-21.1.210.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-commonraven-1.0.0-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-fennecfox-1.0.1-neoforge-1.21.1-21.1.215.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-manatee-1.0.0-neoforge-1.21.1-21.1.209.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-meerkat-1.0.4-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-mouse-1.0.3-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-owl-1.2.2-neoforge-1.21.1-21.1.206.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-prairiedog-1.0.1-neoforge-1.21.1-21.1.217.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-redpanda-1.1.1-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
