[18Apr2026 23:32:07.960] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "alltheleaks-1.1.7+1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:07.971] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Almanac-1.21.1-2-neoforge-1.5.2.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:07.981] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AmbientSounds_NEOFORGE_v6.3.4_mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:07.991] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "amendments-1.21-2.0.15-neoforge.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.002] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-alligatorgar-1.0.0-neoforge-1.21.1-21.1.215.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.011] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-bullshark-1.1.0-neoforge-1.21.1-21.1.210.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.021] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-commonraven-1.0.0-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.030] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-fennecfox-1.0.1-neoforge-1.21.1-21.1.215.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.040] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-manatee-1.0.0-neoforge-1.21.1-21.1.209.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.050] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-meerkat-1.0.4-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.058] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-mouse-1.0.3-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.069] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-owl-1.2.2-neoforge-1.21.1-21.1.206.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.079] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-prairiedog-1.0.1-neoforge-1.21.1-21.1.217.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.088] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-redpanda-1.1.1-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.098] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-seaotter-1.1.0-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.107] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-spottedhyena-1.0.0-neoforge-1.21.1-21.1.211.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.117] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-sugargilder-1.0.0-neoforge-1.21.1-21.1.214.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[18Apr2026 23:32:08.126] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "animalgarden-westerngorilla-1.0.0-neoforge-1.21.1-21.1.216.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
